,location,total_sqft,bath,price,BHK
1560,Dasanapura,1163.0,2.0,65.0,2
1561,Dasanapura,1286.0,2.0,68.0,3
1562,Dasanapura,708.0,2.0,31.15,2
1563,Dasanapura,708.0,1.0,41.0,1
1564,Dasanapura,814.0,2.0,43.7,2
1565,Dasarahalli,1295.0,2.0,65.0,2
1566,Dasarahalli,1520.0,2.0,75.0,3
1567,Dasarahalli,1150.0,2.0,70.0,2
1568,Dasarahalli,2100.0,3.0,120.0,3
1569,Dasarahalli,1220.0,2.0,52.0,2
1570,Dasarahalli,1375.0,2.0,60.0,2
1571,Dasarahalli,1333.0,2.0,78.56,2
1572,Dasarahalli,1220.0,2.0,62.0,2
1573,Devanahalli,3210.0,2.0,192.0,4
1574,Devanahalli,1260.0,2.0,66.78,2
1575,Devanahalli,1282.0,2.0,68.52,3
1576,Devanahalli,1360.0,2.0,65.0,2
1577,Devanahalli,1630.0,2.0,74.82,3
1578,Devanahalli,1408.0,2.0,85.0,2
1579,Devanahalli,1010.0,2.0,51.0,2
1580,Devanahalli,1080.0,2.0,53.35,2
1581,Devanahalli,2400.0,5.0,100.0,5
1582,Devanahalli,1080.0,2.0,44.0,2
1583,Devanahalli,1282.0,2.0,52.43,3
1584,Devanahalli,1174.0,2.0,59.0,2
1585,Devanahalli,3752.5,2.0,177.115,2
1586,Devanahalli,658.0,1.0,34.0,1
1587,Devanahalli,658.0,1.0,26.91,1
1588,Devanahalli,698.5,1.0,28.57,1
1589,Devanahalli,1080.0,2.0,52.0,2
1590,Devanahalli,1700.0,3.0,88.2,3
1591,Devanahalli,1498.0,3.0,79.15,3
1592,Devanahalli,1466.0,3.0,77.59,3
1593,Devanahalli,775.0,1.0,39.0,1
1594,Devanahalli,1020.0,2.0,49.87,1
1595,Devanahalli,1045.0,2.0,48.0,2
1596,Devanahalli,1550.0,3.0,85.0,3
1597,Devanahalli,1200.0,2.0,55.08,3
1598,Devanahalli,1340.0,2.0,65.0,2
1599,Devanahalli,2125.0,3.0,107.0,3
1600,Devanahalli,1230.0,2.0,56.45,2
1601,Devanahalli,1360.0,2.0,62.425,2
1602,Devanahalli,1290.0,2.0,62.0,3
1603,Devanahalli,1010.0,2.0,58.0,2
1604,Devanahalli,1466.0,3.0,59.96,3
1605,Devanahalli,1520.0,2.0,69.76,3
1606,Devanahalli,1075.0,2.0,52.57,1
1607,Devarachikkanahalli,1250.0,2.0,44.0,3
1608,Devarachikkanahalli,1250.0,2.0,40.0,2
1609,Devarachikkanahalli,1200.0,2.0,83.0,2
1610,Devarachikkanahalli,1170.0,2.0,40.0,2
1611,Devarachikkanahalli,615.0,1.0,24.0,1
1612,Devarachikkanahalli,1230.0,2.0,58.0,2
1613,Devarachikkanahalli,1425.0,2.0,65.0,3
1614,Devarachikkanahalli,947.0,2.0,43.0,2
1615,Devarachikkanahalli,1130.0,2.0,36.0,2
1616,Devarachikkanahalli,1417.0,2.0,76.0,3
1617,Devarachikkanahalli,1230.0,2.0,58.0,2
1618,Devarachikkanahalli,1705.0,3.0,75.0,3
1619,Devarachikkanahalli,1116.0,2.0,47.0,2
1620,Devarachikkanahalli,991.0,2.0,40.0,2
1621,Devarachikkanahalli,1700.0,3.0,71.0,3
1622,Dodda Nekkundi,1260.0,2.0,55.0,2
1623,Dodda Nekkundi,850.0,2.0,28.0,2
1624,Dodda Nekkundi,1390.0,2.0,60.0,2
1625,Dodda Nekkundi,1804.0,3.0,121.0,3
1626,Dodda Nekkundi,1080.0,2.0,50.0,2
1627,Dodda Nekkundi,1999.0,3.0,132.0,3
1628,Dodda Nekkundi,1100.0,2.0,48.0,2
1629,Dodda Nekkundi,1999.0,3.0,135.0,3
1630,Dodda Nekkundi,1100.0,2.0,41.15,2
1631,Dodda Nekkundi,1252.0,2.0,71.0,3
1632,Dodda Nekkundi,1155.0,2.0,46.0,2
1633,Dodda Nekkundi,1128.0,2.0,45.0,2
1634,Dodda Nekkundi,1148.0,2.0,56.0,2
1635,Dodda Nekkundi,1435.0,3.0,57.2,3
1636,Dodda Nekkundi,1145.0,2.0,46.5,2
1637,Dodda Nekkundi,1829.0,3.0,125.0,3
1638,Dodda Nekkundi,1100.0,2.0,41.16,2
1639,Dodda Nekkundi,1100.0,2.0,46.75,2
1640,Dodda Nekkundi,1315.0,2.0,50.0,2
1641,Dodda Nekkundi,1135.0,2.0,58.0,2
1642,Dodda Nekkundi,1100.0,2.0,41.18,2
1643,Dodda Nekkundi,1370.0,2.0,60.0,2
1644,Dodda Nekkundi,1200.0,2.0,71.0,2
1645,Dodda Nekkundi,1585.0,2.0,79.0,3
1646,Dodda Nekkundi,1005.0,2.0,45.0,2
1647,Dodda Nekkundi,1264.0,2.0,52.0,2
1648,Doddaballapur,1690.0,3.0,80.0,4
1649,Doddaballapur,4200.0,4.0,325.0,4
1650,Doddaballapur,3876.0,3.0,300.0,3
1651,Doddaballapur,2776.0,4.0,195.0,3
1652,Doddaballapur,2440.0,3.0,142.0,3
1653,Doddaballapur,2400.0,3.0,200.0,4
1654,Doddaballapur,654.0,1.0,49.0,1
1655,Doddaballapur,3206.0,5.0,270.0,4
1656,Doddakallasandra,1010.0,2.0,40.39,2
1657,Doddakallasandra,1360.0,2.0,54.39,3
1658,Doddakallasandra,1460.0,2.0,58.39,3
1659,Doddakallasandra,1360.0,2.0,54.4,3
1660,Doddakallasandra,1425.0,2.0,56.99,3
1661,Doddakallasandra,1072.0,2.0,42.87,2
1662,Doddakallasandra,1010.0,2.0,40.4,2
1663,Doddakallasandra,1010.0,2.0,41.0,2
1664,Doddathoguru,970.0,2.0,33.0,2
1665,Doddathoguru,1050.0,2.0,32.0,2
1666,Doddathoguru,1030.0,2.0,42.0,2
1667,Doddathoguru,1549.0,3.0,65.0,3
1668,Doddathoguru,550.0,1.0,17.0,1
1669,Doddathoguru,1015.0,2.0,33.5,2
1670,Doddathoguru,1104.0,2.0,39.0,2
1671,Doddathoguru,915.0,2.0,32.0,2
1672,Doddathoguru,750.0,1.0,25.5,1
1673,Doddathoguru,1595.0,3.0,62.0,3
1674,Doddathoguru,855.0,2.0,32.0,2
1675,Doddathoguru,1105.0,2.0,50.0,2
1676,Doddathoguru,925.0,2.0,30.0,2
1677,Doddathoguru,1300.0,2.0,42.0,3
1678,Doddathoguru,1208.0,3.0,45.0,3
1679,Doddathoguru,1100.0,2.0,50.0,2
1680,Doddathoguru,940.0,2.0,32.9,2
1681,Doddathoguru,1382.0,3.0,65.0,3
1682,Doddathoguru,1107.0,2.0,44.0,2
1683,Doddathoguru,907.0,2.0,40.0,2
1684,Doddathoguru,1783.0,3.0,85.0,3
1685,Domlur,1540.0,3.0,90.0,3
1686,Domlur,1875.0,2.0,150.0,3
1687,Domlur,1429.0,3.0,86.0,3
1688,Domlur,640.0,1.0,55.0,1
1689,Domlur,1050.0,2.0,85.0,2
1690,Domlur,1800.0,3.0,150.0,3
1691,Domlur,1720.0,3.0,135.0,3
1692,Domlur,1950.0,3.0,165.0,3
1693,Domlur,2180.0,3.0,285.0,3
1694,Domlur,650.0,1.0,70.0,1
1695,Domlur,780.0,1.0,70.0,1
1696,Domlur,1740.0,3.0,120.0,3
1697,Domlur,1695.0,3.0,125.0,3
1698,Domlur,1246.0,2.0,95.0,2
1699,Domlur,2100.0,3.0,145.0,3
1700,Domlur,1276.0,2.0,80.0,2
1701,Domlur,1850.0,3.0,180.0,3
1702,Domlur,2955.0,3.0,235.0,3
1703,Domlur,1650.0,3.0,180.0,3
1704,Dommasandra,805.0,2.0,22.14,2
1705,Dommasandra,1033.0,2.0,25.53,3
1706,Dommasandra,1267.0,3.0,56.0,3
1707,Dommasandra,1200.0,2.0,50.0,2
1708,Dommasandra,2700.0,3.0,68.0,4
1709,Dommasandra,1033.0,2.0,31.5,3
1710,Dommasandra,1153.0,2.0,43.5,2
1711,Dommasandra,1500.0,2.0,40.0,2
1712,Dommasandra,1090.0,2.0,43.5,2
1713,Dommasandra,850.0,2.0,25.4,2
1714,Dommasandra,674.0,1.0,19.9,2
1715,Dommasandra,999.0,2.0,32.9,2
1716,EPIP Zone,1499.0,5.0,102.0,3
1717,EPIP Zone,1285.0,2.0,82.0,2
1718,EPIP Zone,2330.0,3.0,162.0,3
1719,EPIP Zone,1330.0,2.0,92.5,2
1720,EPIP Zone,1330.0,2.0,86.98,2
1721,EPIP Zone,1330.0,2.0,93.36,2
1722,EPIP Zone,3035.0,5.0,200.0,4
1723,EPIP Zone,1500.0,3.0,102.0,3
1724,EPIP Zone,1280.0,2.0,69.0,2
1725,EPIP Zone,1125.0,2.0,65.0,2
1726,EPIP Zone,1734.0,3.0,125.0,3
1727,EPIP Zone,3360.0,5.0,225.0,4
1728,EPIP Zone,1343.0,2.0,86.0,2
1729,EPIP Zone,2350.0,4.0,163.0,3
1730,EPIP Zone,1860.0,3.0,130.0,3
1731,EPIP Zone,2210.0,3.0,165.0,3
1732,EPIP Zone,2710.0,3.0,177.0,3
1733,EPIP Zone,3360.0,5.0,221.0,4
1734,Electronic City,660.0,1.0,23.1,2
1735,Electronic City,1025.0,2.0,47.0,3
1736,Electronic City,1000.0,2.0,28.88,2
1737,Electronic City,1530.0,2.0,45.9,3
1738,Electronic City,1500.0,2.0,64.5,3
1739,Electronic City,1060.0,2.0,60.0,2
1740,Electronic City,1152.0,2.0,64.5,2
1741,Electronic City,1350.0,2.0,56.0,3
1742,Electronic City,770.0,1.0,36.0,2
1743,Electronic City,1070.0,2.0,52.0,2
1744,Electronic City,1025.0,2.0,46.0,2
1745,Electronic City,589.0,1.0,27.0,1
1746,Electronic City,1100.0,2.0,42.0,2
1747,Electronic City,910.0,2.0,40.0,2
1748,Electronic City,1108.0,2.0,63.0,2
1749,Electronic City,1128.0,2.0,65.0,2
1750,Electronic City,1800.0,3.0,95.0,3
1751,Electronic City,630.0,1.0,34.65,1
1752,Electronic City,1128.0,2.0,63.0,2
1753,Electronic City,1599.0,3.0,99.0,3
1754,Electronic City,1125.0,2.0,32.49,2
1755,Electronic City,1094.0,2.0,42.0,2
1756,Electronic City,1070.0,2.0,55.0,2
1757,Electronic City,940.0,2.0,41.0,2
1758,Electronic City,1320.0,2.0,38.13,3
1759,Electronic City,1128.0,2.0,68.75,2
1760,Electronic City,1342.0,2.0,73.3,2
1761,Electronic City,1360.0,2.0,71.0,3
1762,Electronic City,880.0,2.0,29.0,2
1763,Electronic City,1265.0,2.0,56.93,2
1764,Electronic City,1691.0,2.0,102.0,3
1765,Electronic City,1128.0,2.0,65.49,2
1766,Electronic City,1620.0,3.0,62.0,3
1767,Electronic City,710.0,2.0,16.0,2
1768,Electronic City,1070.0,2.0,56.1,2
1769,Electronic City,2000.0,4.0,120.0,4
1770,Electronic City,890.0,2.0,45.0,2
1771,Electronic City,1128.0,2.0,65.65,2
1772,Electronic City,865.0,2.0,42.0,2
1773,Electronic City,1130.0,2.0,32.64,2
1774,Electronic City,910.0,2.0,42.0,2
1775,Electronic City,975.0,2.0,37.5,2
1776,Electronic City,1360.0,2.0,75.0,3
1777,Electronic City,770.0,1.0,40.0,2
1778,Electronic City,1128.0,2.0,64.0,2
1779,Electronic City,1070.0,2.0,54.0,2
1780,Electronic City,1025.0,2.0,29.6,2
1781,Electronic City,1571.0,3.0,89.0,3
1782,Electronic City,1111.0,3.0,50.0,3
1783,Electronic City,870.0,2.0,39.5,2
1784,Electronic City,921.0,2.0,34.0,2
1785,Electronic City,1374.0,2.0,72.0,3
1786,Electronic City,1100.0,2.0,45.0,2
1787,Electronic City,1128.0,2.0,65.35,2
1788,Electronic City,755.0,1.0,34.0,2
1789,Electronic City,1220.0,2.0,35.24,3
1790,Electronic City,4000.0,5.0,150.0,4
1791,Electronic City,1100.0,2.0,40.0,2
1792,Electronic City,1563.0,3.0,91.84,3
1793,Electronic City,1652.0,3.0,70.0,3
1794,Electronic City,1000.0,2.0,22.0,2
1795,Electronic City,1025.0,2.0,54.5,2
1796,Electronic City,1070.0,2.0,46.0,2
1797,Electronic City,1350.0,3.0,58.0,3
1798,Electronic City,1000.0,2.0,25.0,2
1799,Electronic City,1020.0,2.0,29.46,2
1800,Electronic City,1700.0,3.0,75.0,3
1801,Electronic City,1400.0,2.0,48.0,3
1802,Electronic City,1128.0,2.0,68.0,2
1803,Electronic City,700.0,1.0,35.0,1
1804,Electronic City,1360.0,2.0,70.5,3
1805,Electronic City,1150.0,2.0,38.0,2
1806,Electronic City,1571.0,3.0,105.0,3
1807,Electronic City,1090.0,2.0,31.49,2
1808,Electronic City,1089.0,2.0,45.0,2
1809,Electronic City,1110.0,2.0,40.0,2
1810,Electronic City,1600.0,3.0,104.0,3
1811,Electronic City,1130.0,2.0,32.63,2
1812,Electronic City,1500.0,2.0,100.0,3
1813,Electronic City,1440.0,2.0,55.0,3
1814,Electronic City,1156.0,2.0,44.0,3
1815,Electronic City,1400.0,2.0,40.44,3
1816,Electronic City,1152.0,2.0,65.0,2
1817,Electronic City,1070.0,2.0,60.0,2
1818,Electronic City,1128.0,2.0,65.5,2
1819,Electronic City,1200.0,2.0,59.0,2
1820,Electronic City,1152.0,2.0,65.75,2
1821,Electronic City,1225.0,3.0,45.03,3
1822,Electronic City,1060.0,2.0,58.0,2
1823,Electronic City,1025.0,2.0,54.1,2
1824,Electronic City,1105.0,2.0,35.0,3
1825,Electronic City,660.0,1.0,18.0,2
1826,Electronic City,660.0,1.0,15.0,2
1827,Electronic City,1000.0,2.0,41.0,2
1828,Electronic City,1500.0,2.0,78.0,3
1829,Electronic City,1213.0,2.0,59.32,2
1830,Electronic City,1575.0,3.0,90.0,3
1831,Electronic City,435.0,1.0,19.5,1
1832,Electronic City,1449.0,3.0,100.0,3
1833,Electronic City,1310.0,2.0,37.83,3
1834,Electronic City,1125.0,2.0,58.0,2
1835,Electronic City,1090.0,2.0,35.03,2
1836,Electronic City,1575.0,3.0,101.0,3
1837,Electronic City,660.0,1.0,16.0,2
1838,Electronic City,550.0,1.0,12.0,1
1839,Electronic City,919.0,2.0,40.0,2
1840,Electronic City,1500.0,2.0,78.25,3
1841,Electronic City,1363.0,2.0,79.0,2
1842,Electronic City,1156.0,2.0,42.0,2
1843,Electronic City,1108.0,2.0,67.15,2
1844,Electronic City,1160.0,2.0,33.5,2
1845,Electronic City,1128.0,2.0,65.7,2
1846,Electronic City,1170.0,2.0,33.0,2
1847,Electronic City,1060.0,2.0,51.0,2
1848,Electronic City,1410.0,2.0,38.0,3
1849,Electronic City,1650.0,3.0,100.0,3
1850,Electronic City,1020.0,2.0,29.45,2
1851,Electronic City,1025.0,2.0,49.0,2
1852,Electronic City,1000.0,2.0,29.7,2
1853,Electronic City,1449.0,3.0,90.0,3
1854,Electronic City,1065.0,2.0,30.75,2
1855,Electronic City,1070.0,2.0,58.0,2
1856,Electronic City,1210.0,2.0,54.0,2
1857,Electronic City,1500.0,2.0,75.0,3
1858,Electronic City,1033.0,2.0,28.41,3
1859,Electronic City,2435.0,4.0,119.0,4
1860,Electronic City,660.0,1.0,15.5,2
1861,Electronic City,1125.0,2.0,32.5,2
1862,Electronic City,1165.0,2.0,33.64,2
1863,Electronic City,919.0,2.0,34.0,2
1864,Electronic City,1073.0,2.0,60.0,2
1865,Electronic City,1070.0,2.0,47.0,2
1866,Electronic City,1296.0,2.0,65.0,2
1867,Electronic City,1140.0,2.0,70.93,2
1868,Electronic City,1200.0,2.0,34.65,2
1869,Electronic City,1096.0,2.0,40.55,2
1870,Electronic City,1017.0,2.0,27.0,2
1871,Electronic City,1110.0,2.0,39.95,2
1872,Electronic City,2093.0,4.0,104.0,4
1873,Electronic City,1025.0,2.0,53.9,2
1874,Electronic City,940.0,2.0,54.0,2
1875,Electronic City,435.0,1.0,21.0,1
1876,Electronic City,1500.0,2.0,77.5,3
1877,Electronic City,1631.0,3.0,80.0,3
1878,Electronic City,1355.0,2.0,67.0,2
1879,Electronic City,1200.0,2.0,34.0,2
1880,Electronic City,1175.0,2.0,47.0,2
1881,Electronic City,435.0,1.0,22.0,1
1882,Electronic City,1500.0,2.0,63.0,3
1883,Electronic City,1039.0,2.0,50.0,2
1884,Electronic City,770.0,1.0,39.9,2
1885,Electronic City,919.0,2.0,35.0,2
1886,Electronic City,605.0,1.0,13.31,1
1887,Electronic City,1159.0,2.0,38.0,3
1888,Electronic City,530.0,1.0,13.5,1
1889,Electronic City,1070.0,2.0,53.0,2
1890,Electronic City,1025.0,1.0,26.63,2
1891,Electronic City,2400.0,2.0,78.0,3
1892,Electronic City,1571.0,3.0,83.0,3
1893,Electronic City,1470.0,2.0,44.1,3
1894,Electronic City,1350.0,3.0,66.0,3
1895,Electronic City,1652.0,3.0,110.0,3
1896,Electronic City,1320.0,2.0,38.12,3
1897,Electronic City,1090.0,2.0,31.48,2
1898,Electronic City,1050.0,2.0,39.0,3
1899,Electronic City,1128.0,2.0,65.58,2
1900,Electronic City,1355.0,2.0,97.6,2
1901,Electronic City,635.0,1.0,28.0,1
1902,Electronic City,1128.0,2.0,65.4,2
1903,Electronic City,1096.0,2.0,39.0,2
1904,Electronic City,1355.0,2.0,72.9,2
1905,Electronic City,1200.0,2.0,30.0,2
1906,Electronic City,1150.0,2.0,35.0,2
1907,Electronic City,1609.0,3.0,115.0,3
1908,Electronic City,770.0,1.0,35.0,2
1909,Electronic City,865.0,2.0,40.0,2
1910,Electronic City,800.0,2.0,32.0,2
1911,Electronic City,970.0,2.0,34.0,2
1912,Electronic City,630.0,1.0,40.5,1
1913,Electronic City,1100.0,2.0,41.0,2
1914,Electronic City,975.0,2.0,32.0,2
1915,Electronic City,605.0,1.0,22.0,1
1916,Electronic City,1142.0,2.0,35.0,2
1917,Electronic City,1070.0,2.0,48.0,2
1918,Electronic City,1160.0,2.0,42.0,3
1919,Electronic City,1360.0,2.0,70.0,3
1920,Electronic City,1128.0,2.0,65.45,2
1921,Electronic City,890.0,2.0,40.0,2
1922,Electronic City,1127.0,2.0,32.0,2
1923,Electronic City,825.0,2.0,35.0,2
1924,Electronic City,1200.0,2.0,40.5,2
1925,Electronic City,1360.0,2.0,58.0,3
1926,Electronic City,1400.0,2.0,40.45,3
1927,Electronic City,1065.0,2.0,30.76,2
1928,Electronic City,630.0,1.0,33.7,1
1929,Electronic City,1025.0,2.0,29.61,2
1930,Electronic City,660.0,1.0,16.5,2
1931,Electronic City,1400.0,3.0,90.0,3
1932,Electronic City,1287.0,3.0,55.0,3
1933,Electronic City,1258.0,2.0,85.5,2
1934,Electronic City,1386.0,2.0,85.0,2
1935,Electronic City,550.0,1.0,27.0,1
1936,Electronic City,1025.0,2.0,50.0,2
1937,Electronic City,1140.0,2.0,33.84,2
1938,Electronic City,1342.0,2.0,72.0,2
1939,Electronic City,1275.0,3.0,70.0,3
1940,Electronic City,770.0,1.0,38.0,2
1941,Electronic City,1005.0,2.0,39.77,2
1942,Electronic City,1110.0,2.0,39.9,2
1943,Electronic City,660.0,1.0,23.0,2
1944,Electronic City,1644.0,3.0,92.59,3
1945,Electronic City,1250.0,2.0,62.0,2
1946,Electronic City,1020.0,2.0,30.27,2
1947,Electronic City,418.0,1.0,12.0,1
1948,Electronic City,1128.0,2.0,64.8,2
1949,Electronic City,1220.0,2.0,35.25,3
1950,Electronic City,1220.0,2.0,35.23,3
1951,Electronic City,1060.0,2.0,55.0,2
1952,Electronic City,710.0,1.0,40.42,1
1953,Electronic City,1000.0,2.0,29.95,2
1954,Electronic City,870.0,2.0,24.0,2
1955,Electronic City,1275.0,3.0,63.43,3
1956,Electronic City,1518.0,3.0,75.0,3
1957,Electronic City,1090.0,2.0,31.48,1
1958,Electronic City,1140.0,2.0,32.92,2
1959,Electronic City,1200.0,2.0,34.66,2
1960,Electronic City,1353.0,2.0,75.0,2
1961,Electronic City,1128.0,2.0,67.0,2
1962,Electronic City,1070.0,2.0,57.0,2
1963,Electronic City,1700.0,3.0,90.0,3
1964,Electronic City,1521.0,2.0,57.5,3
1965,Electronic City,750.0,1.0,35.0,1
1966,Electronic City,1210.0,2.0,55.0,2
1967,Electronic City,1190.0,2.0,42.0,2
1968,Electronic City,880.0,2.0,19.0,2
1969,Electronic City,1150.0,2.0,38.08,2
1970,Electronic City,1615.0,3.0,97.0,3
1971,Electronic City,1165.0,2.0,33.65,2
1972,Electronic City,1221.0,2.0,68.0,2
1973,Electronic City,970.0,2.0,35.0,2
1974,Electronic City,1500.0,3.0,73.0,3
1975,Electronic City,995.0,2.0,48.0,2
1976,Electronic City,1342.0,2.0,90.0,2
1977,Electronic City,1128.0,2.0,63.5,2
1978,Electronic City,589.0,1.0,29.0,1
1979,Electronic City,1125.0,2.0,28.13,2
1980,Electronic City,825.0,2.0,30.0,2
1981,Electronic City,1575.0,3.0,94.5,3
1982,Electronic City,1025.0,2.0,54.0,2
1983,Electronic City,1500.0,2.0,70.0,3
1984,Electronic City,1140.0,2.0,32.93,2
1985,Electronic City,2093.0,4.0,134.0,4
1986,Electronic City,750.0,2.0,19.5,2
1987,Electronic City,1355.0,2.0,73.0,2
1988,Electronic City,1360.0,2.0,64.99,3
1989,Electronic City,1060.0,2.0,52.0,2
1990,Electronic City Phase II,1056.0,2.0,39.07,2
1991,Electronic City Phase II,1020.0,2.0,30.6,2
1992,Electronic City Phase II,1069.0,2.0,45.0,2
1993,Electronic City Phase II,630.0,1.0,28.35,1
1994,Electronic City Phase II,1220.0,2.0,35.23,3
1995,Electronic City Phase II,1000.0,2.0,25.0,2
1996,Electronic City Phase II,1090.0,2.0,28.34,2
1997,Electronic City Phase II,2225.0,4.0,98.88,4
1998,Electronic City Phase II,2400.0,3.0,150.0,2
1999,Electronic City Phase II,1400.0,2.0,40.43,3
2000,Electronic City Phase II,775.0,2.0,38.0,2
2001,Electronic City Phase II,1266.0,2.0,59.0,2
2002,Electronic City Phase II,1000.0,2.0,28.88,2
2003,Electronic City Phase II,1320.0,2.0,38.13,3
2004,Electronic City Phase II,1220.0,3.0,35.23,3
2005,Electronic City Phase II,972.0,2.0,44.0,2
2006,Electronic City Phase II,1031.0,2.0,55.0,2
2007,Electronic City Phase II,1003.0,2.0,40.6,2
2008,Electronic City Phase II,1031.0,2.0,56.35,2
2009,Electronic City Phase II,1320.0,2.0,38.12,3
2010,Electronic City Phase II,1205.0,2.0,75.0,2
2011,Electronic City Phase II,1395.0,2.0,62.78,3
2012,Electronic City Phase II,1160.0,2.0,33.5,2
2013,Electronic City Phase II,1065.0,2.0,30.75,2
2014,Electronic City Phase II,1219.0,2.0,61.25,2
2015,Electronic City Phase II,1400.0,2.0,41.58,3
2016,Electronic City Phase II,1790.0,3.0,100.0,3
2017,Electronic City Phase II,769.0,2.0,40.0,2
2018,Electronic City Phase II,900.0,2.0,32.5,2
2019,Electronic City Phase II,1329.0,2.0,41.0,3
2020,Electronic City Phase II,993.0,2.0,50.0,3
2021,Electronic City Phase II,1418.0,3.0,52.47,3
2022,Electronic City Phase II,1070.0,2.0,45.0,2
2023,Electronic City Phase II,1310.0,2.0,32.75,3
2024,Electronic City Phase II,1310.0,2.0,37.83,3
2025,Electronic City Phase II,1140.0,2.0,33.06,2
2026,Electronic City Phase II,1089.0,2.0,32.67,2
2027,Electronic City Phase II,1253.0,2.0,65.8,2
2028,Electronic City Phase II,1400.0,2.0,40.44,3
2029,Electronic City Phase II,975.0,2.0,45.0,3
2030,Electronic City Phase II,6000.0,4.0,260.0,4
2031,Electronic City Phase II,1116.0,2.0,37.0,2
2032,Electronic City Phase II,1125.0,2.0,29.25,2
2033,Electronic City Phase II,1165.0,2.0,30.29,2
2034,Electronic City Phase II,3550.0,2.0,167.5,4
2035,Electronic City Phase II,1031.0,2.0,53.0,2
2036,Electronic City Phase II,1611.0,2.0,48.33,3
2037,Electronic City Phase II,1065.0,2.0,30.88,2
2038,Electronic City Phase II,1220.0,3.0,36.6,3
2039,Electronic City Phase II,1549.0,3.0,80.0,3
2040,Electronic City Phase II,1065.0,2.0,56.13,2
2041,Electronic City Phase II,920.0,2.0,26.0,2
2042,Electronic City Phase II,1140.0,2.0,33.84,2
2043,Electronic City Phase II,1219.0,2.0,61.26,2
2044,Electronic City Phase II,1252.0,2.0,65.0,3
2045,Electronic City Phase II,1125.0,2.0,32.49,2
2046,Electronic City Phase II,1286.0,2.0,69.0,2
2047,Electronic City Phase II,1220.0,2.0,36.21,3
2048,Electronic City Phase II,1140.0,2.0,32.92,2
2049,Electronic City Phase II,1116.0,2.0,40.0,2
2050,Electronic City Phase II,1150.0,3.0,46.0,3
2051,Electronic City Phase II,1192.0,2.0,47.0,3
2052,Electronic City Phase II,1502.0,3.0,50.0,3
2053,Electronic City Phase II,1020.0,2.0,32.0,2
2054,Electronic City Phase II,1900.0,3.0,97.0,4
2055,Electronic City Phase II,1020.0,2.0,27.43,2
2056,Electronic City Phase II,1025.0,2.0,26.65,2
2057,Electronic City Phase II,1020.0,2.0,29.45,2
2058,Electronic City Phase II,1310.0,2.0,37.84,3
2059,Electronic City Phase II,1140.0,2.0,28.5,2
2060,Electronic City Phase II,1200.0,2.0,34.65,2
2061,Electronic City Phase II,1160.0,2.0,52.2,2
2062,Electronic City Phase II,1244.0,2.0,55.0,2
2063,Electronic City Phase II,1160.0,2.0,33.51,2
2064,Electronic City Phase II,1220.0,3.0,35.25,3
2065,Electronic City Phase II,1625.0,2.0,48.75,3
2066,Electronic City Phase II,972.0,2.0,40.0,2
2067,Electronic City Phase II,1400.0,2.0,40.45,3
2068,Electronic City Phase II,1090.0,2.0,31.48,2
2069,Electronic City Phase II,650.0,1.0,35.0,1
2070,Electronic City Phase II,1155.0,2.0,57.0,2
2071,Electronic City Phase II,1800.0,3.0,92.0,3
2072,Electronic City Phase II,1300.0,2.0,28.0,2
2073,Electronic City Phase II,1940.0,4.0,116.0,3
2074,Electronic City Phase II,1025.0,2.0,29.6,2
2075,Electronic City Phase II,829.0,2.0,22.8,2
2076,Electronic City Phase II,2187.5,4.0,105.0,4
2077,Electronic City Phase II,1252.0,2.0,67.0,2
2078,Electronic City Phase II,1125.0,2.0,32.63,2
2079,Electronic City Phase II,1140.0,2.0,34.0,2
2080,Electronic City Phase II,1135.0,2.0,46.0,2
2081,Electronic City Phase II,1305.0,3.0,65.0,3
2082,Electronic City Phase II,1165.0,2.0,33.64,2
2083,Electronic City Phase II,1336.0,2.0,50.35,3
2084,Electronic City Phase II,575.0,1.0,16.75,1
2085,Electronic City Phase II,925.0,2.0,49.82,3
2086,Electronic City Phase II,1065.0,2.0,30.76,2
2087,Electronic City Phase II,911.0,2.0,26.5,2
2088,Electronic City Phase II,1031.0,2.0,54.48,2
2089,Electronic City Phase II,1651.0,3.0,49.53,3
2090,Electronics City Phase 1,1070.0,2.0,45.5,2
2091,Electronics City Phase 1,1475.0,3.0,78.29,3
2092,Electronics City Phase 1,1490.0,3.0,78.8,3
2093,Electronics City Phase 1,1113.27,2.0,53.0,2
2094,Electronics City Phase 1,1490.0,3.0,84.0,3
2095,Electronics City Phase 1,1175.0,2.0,51.47,2
2096,Electronics City Phase 1,1160.0,2.0,52.0,2
2097,Electronics City Phase 1,920.0,2.0,33.0,2
2098,Electronics City Phase 1,1750.0,3.0,84.0,3
2099,Electronics City Phase 1,1350.0,3.0,55.0,3
2100,Electronics City Phase 1,940.0,2.0,40.0,2
2101,Electronics City Phase 1,1015.0,2.0,56.0,2
2102,Electronics City Phase 1,1595.0,3.0,75.0,3
2103,Electronics City Phase 1,1515.0,2.0,80.91,3
2104,Electronics City Phase 1,995.0,2.0,46.0,2
2105,Electronics City Phase 1,1555.0,2.0,82.0,3
2106,Electronics City Phase 1,1340.0,2.0,75.0,2
2107,Electronics City Phase 1,1124.0,2.0,55.0,3
2108,Electronics City Phase 1,1175.0,2.0,57.0,2
2109,Electronics City Phase 1,755.0,1.0,42.41,1
